Mario Kart Stadium,1:41.317,150cc,Shrooms
Mario Kart Stadium,1:41.417,150cc,Shrooms
Mario Kart Stadium,1:41.967,150cc,Shrooms
Mario Kart Stadium,1:43.597,150cc,Shrooms
Mario Kart Stadium,1:44.271,150cc,Shrooms
Mario Kart Stadium,1:45.026,150cc,Shrooms
Mario Kart Stadium,1:47.843,150cc,Shrooms
Mario Kart Stadium,1:53.901,150cc,Shrooms
Mario Kart Stadium,1:57.187,150cc,Shrooms
Mario Kart Stadium,1:57.287,150cc,Shrooms
Water Park,1:41.444,150cc,Shrooms
Water Park,1:42.514,150cc,Shrooms
Water Park,1:43.363,150cc,Shrooms
Water Park,1:46.513,150cc,Shrooms
Water Park,1:46.867,150cc,Shrooms
Water Park,1:47.174,150cc,Shrooms
Water Park,1:48.666,150cc,Shrooms
Sweet Sweet Canyon,1:55.769,150cc,Shrooms
Sweet Sweet Canyon,1:56.543,150cc,Shrooms
Sweet Sweet Canyon,1:58.281,150cc,Shrooms
Sweet Sweet Canyon,1:58.695,150cc,Shrooms
Sweet Sweet Canyon,1:59.143,150cc,Shrooms
Thwomp Ruins,1:56.245,150cc,Shrooms
Thwomp Ruins,1:56.569,150cc,Shrooms
Thwomp Ruins,1:56.779,150cc,Shrooms
Thwomp Ruins,1:58.003,150cc,Shrooms
Thwomp Ruins,1:58.541,150cc,Shrooms
Thwomp Ruins,1:59.396,150cc,Shrooms
Mario Circuit,1:52.343,150cc,Shrooms
Mario Circuit,1:52.497,150cc,Shrooms
Mario Circuit,1:53.963,150cc,Shrooms
Mario Circuit,1:55.087,150cc,Shrooms
Mario Circuit,1:56.985,150cc,Shrooms
Mario Circuit,1:57.584,150cc,Shrooms
Mario Circuit,1:58.052,150cc,Shrooms
Mario Circuit,1:58.870,150cc,Shrooms
Mario Circuit,1:59.134,150cc,Shrooms
Mario Circuit,1:59.880,150cc,Shrooms
Mario Circuit,1:59.986,150cc,Shrooms
Mario Circuit,2:01.633,150cc,Shrooms
Toad Harbor,2:09.764,150cc,Shrooms
Toad Harbor,2:12.927,150cc,Shrooms
Toad Harbor,2:13.035,150cc,Shrooms
Toad Harbor,2:13.314,150cc,Shrooms
Toad Harbor,2:13.612,150cc,Shrooms
Toad Harbor,2:14.375,150cc,Shrooms
Toad Harbor,2:15.311,150cc,Shrooms
Toad Harbor,2:15.847,150cc,Shrooms
Toad Harbor,2:15.971,150cc,Shrooms
Toad Harbor,2:17.969,150cc,Shrooms
Toad Harbor,2:18.467,150cc,Shrooms
Toad Harbor,2:18.580,150cc,Shrooms
Toad Harbor,2:19.352,150cc,Shrooms
Twisted Mansion,2:01.119,150cc,Shrooms
Twisted Mansion,2:01.634,150cc,Shrooms
Twisted Mansion,2:02.632,150cc,Shrooms
Twisted Mansion,2:02.732,150cc,Shrooms
Twisted Mansion,2:03.915,150cc,Shrooms
Twisted Mansion,2:06.795,150cc,Shrooms
Twisted Mansion,2:07.660,150cc,Shrooms
Twisted Mansion,2:11.357,150cc,Shrooms
Twisted Mansion,2:11.864,150cc,Shrooms
Twisted Mansion,2:13.150,150cc,Shrooms
Twisted Mansion,2:15.169,150cc,Shrooms
Twisted Mansion,2:16.015,150cc,Shrooms
Twisted Mansion,2:16.759,150cc,Shrooms
Twisted Mansion,2:17.359,150cc,Shrooms
Shy Guy Falls,2:07.000,150cc,Shrooms
Shy Guy Falls,2:08.670,150cc,Shrooms
Shy Guy Falls,2:09.192,150cc,Shrooms
Shy Guy Falls,2:10.947,150cc,Shrooms
Shy Guy Falls,2:11.962,150cc,Shrooms
Shy Guy Falls,2:12.062,150cc,Shrooms
Shy Guy Falls,2:13.433,150cc,Shrooms
Shy Guy Falls,2:14.846,150cc,Shrooms
Shy Guy Falls,2:15.351,150cc,Shrooms
Shy Guy Falls,2:15.451,150cc,Shrooms
Shy Guy Falls,2:18.184,150cc,Shrooms
Sunshine Airport,2:03.205,150cc,Shrooms
Sunshine Airport,2:06.095,150cc,Shrooms
Sunshine Airport,2:08.739,150cc,Shrooms
Sunshine Airport,2:11.925,150cc,Shrooms
Sunshine Airport,2:14.113,150cc,Shrooms
Sunshine Airport,2:14.459,150cc,Shrooms
Sunshine Airport,2:16.801,150cc,Shrooms
Sunshine Airport,2:17.317,150cc,Shrooms
Sunshine Airport,2:17.927,150cc,Shrooms
Sunshine Airport,2:19.364,150cc,Shrooms
